0	0	0.999583
0.1	0.0998334	0.99459
0.2	0.198669	0.979658
0.3	0.29552	0.954938
0.4	0.389418	0.920677
0.5	0.479426	0.877217
0.6	0.564642	0.824992
0.7	0.644218	0.764524
0.8	0.717356	0.696416
0.9	0.783327	0.621351
1	0.841471	0.540077
1.1	0.891207	0.453407
1.2	0.932039	0.362207
1.3	0.963558	0.267387
1.4	0.98545	0.169896
1.5	0.997495	0.0707077
1.6	0.999574	-0.0291874
1.7	0.991665	-0.128791
1.8	0.973848	-0.227107
1.9	0.9463	-0.323155
2	0.909297	-0.415973
2.1	0.863209	-0.504636
2.2	0.808496	-0.588256
2.3	0.745705	-0.665998
2.4	0.675463	-0.737087
2.5	0.598472	-0.80081
2.6	0.515501	-0.856532
2.7	0.42738	-0.903695
2.8	0.334988	-0.94183
2.9	0.239249	-0.970554
3	0.14112	-0.98958
3.1	0.0415807	-0.998719
3.2	-0.0583741	-0.997879
3.3	-0.157746	-0.987068
3.4	-0.255541	-0.966395
3.5	-0.350783	-0.936067
3.6	-0.44252	-0.896385
3.7	-0.529836	-0.847747
3.8	-0.611858	-0.790638
3.9	-0.687766	-0.72563
4	-0.756802	-0.653371
4.1	-0.818277	-0.574584
4.2	-0.871576	-0.490057
4.3	-0.916166	-0.400632
4.4	-0.951602	-0.307205
4.5	-0.97753	-0.210708
4.6	-0.993691	-0.112106
4.7	-0.999923	-0.0123835
4.8	-0.996165	0.0874625
4.9	-0.982453	0.186435
5	-0.958924	0.283544
5.1	-0.925815	0.37782
5.2	-0.883455	0.468321
5.3	-0.832267	0.554143
5.4	-0.772764	0.634428
5.5	-0.70554	0.708375
5.6	-0.631267	0.775243
5.7	-0.550686	0.834365
5.8	-0.464602	0.885151
5.9	-0.373877	0.927092
6	-0.279415	0.95977
6.1	-0.182163	0.982859
