0	0	0.999583	0.000416615
0.1	0.0998334	0.99459	0.00543753
0.2	0.198669	0.979658	0.0207555
0.3	0.29552	0.954938	0.0471682
0.4	0.389418	0.920677	0.086121
0.5	0.479426	0.877217	0.139911
0.6	0.564642	0.824992	0.212045
0.7	0.644218	0.764524	0.307876
0.8	0.717356	0.696416	0.435741
0.9	0.783327	0.621351	0.609142
1	0.841471	0.540077	0.851232
1.1	0.891207	0.453407	1.20502
1.2	0.932039	0.362207	1.76012
1.3	0.963558	0.267387	2.73875
1.4	0.98545	0.169896	4.88391
1.5	0.997495	0.0707077	13.1372
1.6	0.999574	-0.0291874	-35.2467
1.7	0.991665	-0.128791	-8.76088
1.8	0.973848	-0.227107	-5.40095
1.9	0.9463	-0.323155	-4.09279
2	0.909297	-0.415973	-3.40258
2.1	0.863209	-0.504636	-2.98039
2.2	0.808496	-0.588256	-2.69882
2.3	0.745705	-0.665998	-2.50046
2.4	0.675463	-0.737087	-2.35571
2.5	0.598472	-0.80081	-2.2478
2.6	0.515501	-0.856532	-2.1666
2.7	0.42738	-0.903695	-2.10569
2.8	0.334988	-0.94183	-2.0609
2.9	0.239249	-0.970554	-2.02949
3	0.14112	-0.98958	-2.00969
3.1	0.0415807	-0.998719	-2.00045
3.2	-0.0583741	-0.997879	-2.00129
3.3	-0.157746	-0.987068	-2.01226
3.4	-0.255541	-0.966395	-2.03393
3.5	-0.350783	-0.936067	-2.06744
3.6	-0.44252	-0.896385	-2.11471
3.7	-0.529836	-0.847747	-2.17869
3.8	-0.611858	-0.790638	-2.26386
3.9	-0.687766	-0.72563	-2.37712
4	-0.756802	-0.653371	-2.52947
4.1	-0.818277	-0.574584	-2.73925
4.2	-0.871576	-0.490057	-3.03931
4.3	-0.916166	-0.400632	-3.4946
4.4	-0.951602	-0.307205	-4.25338
4.5	-0.97753	-0.210708	-5.74351
4.6	-0.993691	-0.112106	-9.91601
4.7	-0.999923	-0.0123835	-81.7185
4.8	-0.996165	0.0874625	10.4291
4.9	-0.982453	0.186435	4.36199
5	-0.958924	0.283544	2.52574
5.1	-0.925815	0.37782	1.64608
5.2	-0.883455	0.468321	1.13481
5.3	-0.832267	0.554143	0.804252
5.4	-0.772764	0.634428	0.575982
5.5	-0.70554	0.708375	0.411511
5.6	-0.631267	0.775243	0.289798
5.7	-0.550686	0.834365	0.198433
5.8	-0.464602	0.885151	0.129697
5.9	-0.373877	0.927092	0.0786088
6	-0.279415	0.95977	0.0418985
6.1	-0.182163	0.982859	0.0174329
